SelectionID,ObjectID,time_begin,time_end,Type,Depth
277,18432,9:23:21,9:23:37,Segmented Pipe,6.1
277,18433,9:23:45,9:23:46,Segmented Pipe,8.1
277,18434,9:23:48,9:23:51,Fold and Form or Deform/Reform,8.4
277,18435,9:23:59,9:24:04,Segmented Panel,8.5
277,18436,9:24:10,9:24:17,Segmented Panel,8.6
277,18437,9:24:21,9:24:30,Segmented Panel,8.7
277,19151,9:24:32,9:24:43,Segmented Panel,8.8
277,19152,9:24:43,9:24:56,Segmented Panel,8.9
277,19153,9:24:54,9:25:09,Segmented Panel,9
277,19154,9:25:05,9:25:22,Segmented Panel,9.1
277,18422,9:25:16,9:25:35,Segmented Panel,9.2
277,18423,9:25:27,9:25:48,Segmented Panel,9.3
277,18419,9:25:38,9:26:01,Segmented Panel,9.4
277,18420,9:25:49,9:26:14,Segmented Panel,9.5
277,18421,9:26:00,9:26:27,Segmented Panel,9.6
277,19155,9:26:11,9:26:40,Segmented Panel,9.7
277,19156,9:26:22,9:26:53,Segmented Panel,9.8
277,19157,9:26:33,9:27:06,Segmented Panel,9.9
277,19158,9:26:44,9:27:19,Segmented Panel,10
277,19159,9:26:55,9:27:32,Segmented Panel,10.1
277,19160,9:27:06,9:27:45,Fold and Form or Deform/Reform,10.2
277,19161,9:27:17,9:27:58,Fold and Form or Deform/Reform,10.3
277,19162,9:27:28,9:28:11,Fold and Form or Deform/Reform,10.4
277,19163,9:27:39,9:28:24,Fold and Form or Deform/Reform,10.5
277,19164,9:27:50,9:28:37,Segmented Pipe,10.6
277,19165,9:28:01,9:28:50,Segmented Pipe,10.7
277,19166,9:28:12,9:29:03,Segmented Pipe,10.8
277,19167,9:28:23,9:29:16,Segmented Pipe,10.9
277,19168,9:28:34,9:29:29,Segmented Pipe,11
277,19169,9:28:45,9:29:42,Segmented Pipe,11.1
277,19170,9:28:56,9:29:55,Segmented Pipe,11.2
277,19171,9:29:07,9:30:08,Segmented Pipe,11.3
277,19172,9:29:18,9:30:21,Segmented Pipe,11.4
277,18390,9:29:29,9:30:34,Segmented Pipe,11.5
277,18391,9:29:40,9:30:47,Segmented Pipe,11.6
277,18392,9:29:51,9:31:00,Segmented Pipe,11.7
277,18393,9:30:02,9:31:13,Segmented Pipe,11.8
277,18394,9:30:13,9:31:26,Segmented Pipe,11.9
277,18395,9:30:24,9:31:39,Segmented Pipe,12
277,18396,9:30:35,9:31:52,Segmented Pipe,12.1
277,18397,9:30:46,9:32:05,Segmented Pipe,12.2
277,19173,9:30:57,9:32:18,Segmented Pipe,12.3
277,19174,9:31:08,9:32:31,Segmented Pipe,12.4
277,19175,9:31:19,9:32:44,Segmented Pipe,12.5
277,19176,9:31:30,9:32:57,Segmented Pipe,12.6
277,18404,9:31:41,9:33:10,Segmented Pipe,12.7
277,18405,9:31:52,9:33:23,Segmented Pipe,12.8
277,18398,9:32:03,9:33:36,Segmented Pipe,12.9
277,18399,9:32:14,9:33:49,Segmented Pipe,13
277,18400,9:32:25,9:34:02,Segmented Pipe,13.1
277,18401,9:32:36,9:34:15,Segmented Pipe,13.2
277,18402,9:32:47,9:34:28,Segmented Pipe,13.3
277,18403,9:32:58,9:34:41,Segmented Pipe,13.4
277,17388,9:33:09,9:34:54,Segmented Pipe,13.5
277,17389,9:33:20,9:35:07,Segmented Pipe,13.6
277,17390,9:33:31,9:35:20,Segmented Pipe,13.7
277,17391,9:33:42,9:35:33,Segmented Pipe,13.8
277,17392,9:33:53,9:35:46,Segmented Pipe,13.9
277,17393,9:34:04,9:35:59,Segmented Pipe,14
277,17394,9:34:15,9:36:12,Segmented Pipe,14.1
277,17395,9:34:26,9:36:25,Segmented Pipe,14.2
277,17396,9:34:37,9:36:38,Segmented Pipe,14.3
277,17397,9:34:48,9:36:51,Segmented Pipe,14.4
277,17398,9:34:59,9:37:04,Segmented Pipe,14.5
277,19179,9:35:10,9:37:17,Segmented Pipe,14.6
277,19180,9:35:21,9:37:30,Segmented Pipe,6.1
277,19177,9:35:32,9:37:43,Fold and Form or Deform/Reform,
277,19178,9:35:43,9:37:56,Fold and Form or Deform/Reform,
277,19185,9:35:54,9:38:09,Fold and Form or Deform/Reform,
277,19186,9:36:05,9:38:22,Fold and Form or Deform/Reform,
277,19187,9:36:16,9:38:35,Fold and Form or Deform/Reform,
277,19188,9:36:27,9:38:48,Fold and Form or Deform/Reform,
277,19189,9:36:38,9:39:01,Fold and Form or Deform/Reform,
277,19190,9:36:49,9:39:14,Fold and Form or Deform/Reform,
277,19191,9:37:00,9:39:27,Fold and Form or Deform/Reform,
277,19192,9:37:11,9:39:40,Fold and Form or Deform/Reform,
